,Time,t3-1,t3-2,t3-3,t3-4,t3-5,t20-1,t20-2,t20-3,t20-4,t20-5,t37-1,t37-2,t37-3,t37-4,t37-5
69,6.9,0.3994676,0.3243742,0.2743996,0.2894149,0.2593288,0.4631347,0.3155674,0.3142463,0.2889782,0.2697059,0.4070727,0.4042382,0.3324929,0.2941211,0.3019255
70,7.0,0.4127373,0.3228046,0.2718256,0.2838138,0.2547634,0.4826896,0.3105448,0.3199275,0.2904933,0.2745704,0.3951301,0.384551,0.3270075,0.2910546,0.3132628
71,7.1,0.4101146,0.3165338,0.2703117,0.2740338,0.265612,0.4681392,0.3346852,0.3245347,0.3045696,0.2651528,0.3977334,0.3931174,0.3407354,0.282414,0.2915696
72,7.2,0.401726,0.3106118,0.2630466,0.269772,0.265398,0.4701675,0.3305872,0.3242412,0.3073917,0.274604,0.3953926,0.3982106,0.3415454,0.2870246,0.2920074
73,7.3,0.4026312,0.3289889,0.2682531,0.2605194,0.2694747,0.4746911,0.3262036,0.3227371,0.3103925,0.2716108,0.4130235,0.391986,0.3401785,0.2832397,0.2915057
74,7.4,0.415828,0.3222615,0.2625719,0.2575494,0.2684199,0.4657508,0.3318059,0.3419431,0.3138824,0.2682592,0.3892272,0.3959265,0.3415846,0.2837459,0.311117
75,7.5,0.4064843,0.3092477,0.2587126,0.2574479,0.2730988,0.4795536,0.3272427,0.3153767,0.293331,0.2707734,0.3862981,0.3912278,0.3402324,0.2804619,0.2962186
76,7.6,0.4171932,0.3198756,0.2624563,0.2573146,0.264883,0.4721688,0.3445508,0.330257,0.3126488,0.2704362,0.3910295,0.3768063,0.3449982,0.2901763,0.2885007
77,7.7,0.4188632,0.3208024,0.2592877,0.2607853,0.26472,0.4816408,0.329614,0.3242674,0.2992597,0.2697405,0.4172754,0.3817205,0.3368213,0.2919867,0.2944547
78,7.8,0.4199691,0.3154115,0.2811681,0.2642359,0.26751,0.5000364,0.3243342,0.3339984,0.2991531,0.2820469,0.4274549,0.3704019,0.3525276,0.2888534,0.2853536
79,7.9,0.4296133,0.3116566,0.2822699,0.2730111,0.2562632,0.50437,0.3366316,0.3254368,0.2907128,0.2803129,0.4177672,0.370702,0.3752467,0.292988,0.2967963
